Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,Jigsaw,JigsawCompanyId,AccountSource,SicDesc,iSell__OSKeyID__c,TASKRAY__trOnboardingEndDate__c,TASKRAY__trOnboardingStartDate__c,TASKRAY__trCustomerOnboardingScore__c,TASKRAY__trDesiredOutcomes__c
0011T00002JnooxQAB,0,,TriLink Biotechnologies Inc,,000000000000000AAA,9955 Mesa Rim Road,San Diego,CA,92121,United States,,,,,,,,,,,,858-546-0004,,,http://trilinkbiotech.com,,Biotechnology,,,Subsidiary,,"TriLink BioTechnologies, Inc. provides services for educators and academic researchers in gene therapy, nucleoside chemotherapy, oligonucleotide therapy, and diagnostics. It manufactures custom oligonucleotides, modified nucleoside triphosphates, and CleanAmp PCR products for research, diagnostic, therapeutic, and OEM markets; modified nucleic acid products, including phosphoramidites and other small molecules; and oligonucleotides, including custom synthesis and stocked oligonucleotides. The company also provides modified compounds, including aminoallyl, biotin, and two' fluoro nucleotides; specialty modified nucleotides, such as bisphosphates, a series of monophosphates, and CAP and mCAP; custom chemistry and contract research services, including the synthesis of unique phosphoramidites and polyphosphates, including mono-,di-and triphosphates, and other small molecules; and long RNA transcript synthesis and ISO/QSR compliant cGMP production facility services. In addition, it offers CleanAmp PCR kits, PCR reagents, dNTPs, GC-rich PCR, and primers and amidites. The company provides its products via online, email, and phone order. TriLink BioTechnologies, Inc. was founded in 1996 and is based in San Diego, California. As of October 26, 2016, TriLink BioTechnologies, Inc. . operates as a subsidiary of Maravai Life Sciences Inc.",,,00550000000vRURAA2,11/16/2018 18:02,00550000000vRURAA2,11/16/2018 18:02,00550000000vRURAA2,11/16/2018 22:46,11/21/2018 0:00,,,,,,,,,
0011T00002Kf28sQAB,0,,Wood,,000000000000000AAA,15 Justice Mill Lane,Aberdeen,,AB11 6EQ,Scotland UK,,,,,,,,,,,,,,,www.woodplc.com,,Construction,5000000000,60000,Public,,"Wood Group is an international energy services company with around $5bn sales and operating in more than 40 countries. The Group is built on shared Core Values and provides a range of engineering, production support and maintenance m",,,00550000000vRURAA2,1/9/2019 23:20,00550000000vRURAA2,1/9/2019 23:20,00550000000vRURAA2,1/9/2019 23:20,,,,,,,,,,
0011T00002KkDvXQAV,0,,Envelope Manufacturers Assocation,,000000000000000AAA,"700 S. Washington Street Suite 260 Alexandria, VA 22314",,,,,,,,,,,,,,,,7037392200,,,envelope.org,,Manufacturing,,,,,,,,0055000000139EwAAI,1/11/2019 14:57,0055000000139EwAAI,1/11/2019 14:57,0055000000139EwAAI,1/11/2019 14:57,,,,,,,,,,
0011T00002KkJcoQAF,0,,Merry Maids LP,,000000000000000AAA,860 Ridge Lake Blvd,Memphis,Tennessee,38120-9408,United States,,,,,,,,,,,,1-901-597-1400,,,http://merrymaids.com,,Other,,,,,,,,0055000000139EwAAI,1/11/2019 18:06,0055000000139EwAAI,1/11/2019 18:06,0055000000139EwAAI,2/20/2019 21:36,2/21/2019 0:00,,,,,,,,,
0011T00002KkJiDQAV,0,,Teens Connect,,000000000000000AAA,,,,,,,,,,,,,,,,,,,,,,Not For Profit,,,,,,,,0055000000139EwAAI,1/11/2019 18:09,0055000000139EwAAI,1/11/2019 18:09,0055000000139EwAAI,1/11/2019 18:09,,,,,,,,,,
0011T00002KkJoVQAV,0,,ron rubin winery,,000000000000000AAA,"5220 Ross Road Sebastopol, CA 95472",,,,,,,,,,,,,,,,3143781599,,,ronrubin.com,,Food & Beverage,2000000,25,,,,,,0055000000139EwAAI,1/11/2019 18:12,0055000000139EwAAI,1/11/2019 18:12,0055000000139EwAAI,2/7/2019 23:57,2/8/2019 0:00,,,,,,,,,
0011T00002KkJyLQAV,0,,Vintage View Wine Storage Systems,,000000000000000AAA,"4690 Joliet St. Denver, CO 80239",,,,,,,,,,,,,,,,3035049463,,,vintageview.com,,,,,Private,,,,,0055000000139EwAAI,1/11/2019 18:18,0055000000139EwAAI,1/11/2019 18:18,0055000000139EwAAI,1/11/2019 18:18,,,,,,,,,,
0011T00002KkK60QAF,0,,Sanaia Applesauce,,000000000000000AAA,,,,,,,,,,,,,,,,,646-666-5892,,,https://sanaiaapplesauce.com/,,Food & Beverage,,,Private,,,,,0055000000139EwAAI,1/11/2019 18:22,0055000000139EwAAI,1/11/2019 18:22,0055000000139EwAAI,1/11/2019 18:22,,,,,,,,,,
0011T00002KkKChQAN,0,,Stored Value Solutions Inc,,000000000000000AAA,101 Bullitt Ln,Louisville,Kentucky,40222-5443,United States,,,,,,,,,,,,1-502-326-4600,,,http://storedvalue.com,,Banking,,,,,,,,0055000000139EwAAI,1/11/2019 18:25,0055000000139EwAAI,1/11/2019 18:25,0055000000139EwAAI,1/11/2019 18:25,,,,,,,,,,
0011T00002Kl2fyQAB,0,,Joseph Gallo Farms,,000000000000000AAA,"10561 CA-140, Atwater, CA 95301",Atwater,CA,95301,,,,,,,,,,,,,,,,http://www.josephfarms.com,,Food & Beverage,,,Private,,,,,00550000000vRURAA2,1/14/2019 19:02,00550000000vRURAA2,1/14/2019 20:05,00550000000vRURAA2,1/14/2019 20:05,,,,,,,,,,
